cast_member,country_of_origin,director,original_language,publication_date,audience_average,audience_percent,audience_ratings,critic_average,critic_percent,oscars,awards,nominations,year,month,day,dayofweek,num_actors,action film,comedy film,crime film,drama film,horror film
629,7,7017,13,1483228800,3.4,67.0,13.0,6.7,80.0,0,0,0,2017,1,1,6,7,0,1,0,0,0
12779,27,7383,19,1483228800,2.8,22.0,152.0,6.2,44.0,0,0,0,2017,1,1,6,3,1,0,0,0,0
12777,27,948,19,1483228800,2.8,30.0,171.0,5.4,56.0,0,0,0,2017,1,1,6,4,0,0,1,0,0
19226,90,3135,108,1495238400,3.9,60.0,8.0,7.0,80.0,0,0,0,2017,5,20,5,1,0,0,0,1,0
3254,48,337,9,1504742400,4.0,78.0,16.0,6.7,89.0,1,1,0,2017,9,7,3,2,0,1,0,0,0
19226,45,4557,19,1504828800,3.9,74.0,190.0,7.3,95.0,0,0,0,2017,9,8,4,1,0,0,0,1,0
12997,45,8000,19,1514764800,4.7,94.0,356.0,8.1,97.0,0,0,0,2018,1,1,0,7,1,0,0,0,0
13058,67,5047,4,1505952000,3.2,40.0,11.0,7.5,100.0,0,0,0,2017,9,21,3,2,0,0,0,1,0
4130,26,7759,19,1483228800,2.4,25.0,145.0,3.8,0.0,0,0,0,2017,1,1,6,1,0,0,0,0,1
14975,20,7870,19,1518998400,3.8,79.0,39.0,8.0,88.0,0,0,0,2018,2,19,0,1,0,0,0,1,0
19226,45,1830,19,1483228800,4.0,80.0,61.0,5.9,80.0,0,0,0,2017,1,1,6,1,0,1,0,1,0
14939,77,6119,4,1518739200,4.7,100.0,17.0,8.9,100.0,0,0,0,2018,2,16,4,1,0,0,0,1,0
5467,45,2186,19,1451606400,2.1,14.0,129.0,4.8,50.0,0,0,0,2016,1,1,4,3,0,0,0,1,0
7265,8,5285,19,1325376000,2.9,35.0,4653.0,4.2,31.0,3,0,0,2012,1,1,6,4,0,1,0,0,0
295,45,7480,19,1159228800,3.2,57.0,8456.0,6.8,82.0,0,0,0,2006,9,26,1,24,0,1,0,1,0
12320,45,1923,19,220924800,3.9,83.0,57175.0,8.3,91.0,2,1,0,1977,1,1,5,8,0,0,0,1,1
7644,8,6826,19,31536000,3.8,87.0,63485.0,6.9,90.0,0,0,0,1971,1,1,4,8,0,1,0,0,0
4034,58,7187,63,-473385600,3.7,77.0,997.0,8.0,100.0,0,0,0,1955,1,1,5,11,0,0,1,1,0
11980,7,7187,63,63072000,3.9,82.0,6233.0,6.6,64.0,0,0,0,1972,1,1,5,34,0,1,0,1,0
3611,45,2411,19,1292457600,3.5,63.0,171134.0,5.8,51.0,1,10,49,2010,12,16,3,12,1,0,0,0,0
1265,45,347,19,658108800,3.6,87.0,213360.0,7.5,82.0,7,43,37,1990,11,9,4,15,0,0,0,1,0
7304,45,7387,19,-631152000,3.3,36.0,813.0,5.4,60.0,0,0,0,1950,1,1,6,7,0,1,0,0,0
12200,8,2482,19,1278547200,4.2,91.0,568239.0,8.1,86.0,4,152,204,2010,7,8,3,21,1,0,0,0,0
5603,7,1271,13,1230768000,3.0,50.0,193.0,6.2,70.0,2,0,0,2009,1,1,3,6,0,0,0,1,0
5176,7,1271,13,567993600,3.6,82.0,598.0,7.2,100.0,0,0,0,1988,1,1,4,8,0,0,0,1,0
10568,16,4692,20,0,3.5,54.0,484.0,7.1,77.0,0,0,0,1970,1,1,3,14,0,0,0,1,0
